Step: 0, Elapsed: 0.18s, Loss: 32096.208984, Valid Loss: 33249.445312, y_init: -0.485184
Step: 10, Elapsed: 2.74s, Loss: 6974.630859, Valid Loss: 7075.736328, y_init: -27.721291
Step: 20, Elapsed: 5.17s, Loss: 3718.627930, Valid Loss: 4222.531250, y_init: -22.494593
Step: 30, Elapsed: 7.55s, Loss: 4080.979248, Valid Loss: 3785.075684, y_init: -26.515453
Step: 40, Elapsed: 9.98s, Loss: 3681.834717, Valid Loss: 3387.009033, y_init: -26.485001
Step: 50, Elapsed: 12.35s, Loss: 3393.718994, Valid Loss: 3365.323975, y_init: -23.656591
Step: 60, Elapsed: 14.78s, Loss: 3057.647461, Valid Loss: 3191.028564, y_init: -29.112661
Step: 70, Elapsed: 17.21s, Loss: 2855.427734, Valid Loss: 3052.513184, y_init: -25.535078
Step: 80, Elapsed: 19.58s, Loss: 3037.898438, Valid Loss: 2936.528320, y_init: -25.196011
Step: 90, Elapsed: 22.01s, Loss: 2600.515625, Valid Loss: 2993.774658, y_init: -25.057026
Step: 100, Elapsed: 24.45s, Loss: 3132.422119, Valid Loss: 3018.833740, y_init: -24.317411
Step: 110, Elapsed: 26.82s, Loss: 2664.216553, Valid Loss: 2542.016113, y_init: -23.375935
Step: 120, Elapsed: 29.25s, Loss: 2586.541016, Valid Loss: 2705.976318, y_init: -24.677982
Step: 130, Elapsed: 31.62s, Loss: 2717.151855, Valid Loss: 2628.641602, y_init: -24.126688
Step: 140, Elapsed: 34.06s, Loss: 2746.604004, Valid Loss: 2851.657471, y_init: -24.551325
Step: 150, Elapsed: 36.49s, Loss: 2924.205322, Valid Loss: 2674.431885, y_init: -23.857965
Step: 160, Elapsed: 38.86s, Loss: 2402.444824, Valid Loss: 2566.312500, y_init: -26.036219
Step: 170, Elapsed: 41.30s, Loss: 2373.328125, Valid Loss: 2275.695801, y_init: -21.837048
Step: 180, Elapsed: 43.67s, Loss: 2579.074951, Valid Loss: 2501.573975, y_init: -27.101772
Step: 190, Elapsed: 46.10s, Loss: 2647.419434, Valid Loss: 2407.359619, y_init: -23.344151
Step: 200, Elapsed: 48.54s, Loss: 2639.160889, Valid Loss: 2437.538330, y_init: -22.747604
Step: 210, Elapsed: 50.91s, Loss: 2186.906006, Valid Loss: 2321.505371, y_init: -22.103676
Step: 220, Elapsed: 53.34s, Loss: 2322.449219, Valid Loss: 2384.950928, y_init: -27.387316
Step: 230, Elapsed: 55.72s, Loss: 2104.577637, Valid Loss: 2155.339600, y_init: -23.149172
Step: 240, Elapsed: 58.15s, Loss: 2088.368408, Valid Loss: 2005.798096, y_init: -20.764671
Step: 250, Elapsed: 60.59s, Loss: 2315.072998, Valid Loss: 2308.713135, y_init: -24.645699
